name,team,battingStyle,bowlingStyle,Total_Innings_Batted,Total_Runs,total_balls_faced,Strike_rate,Batting_Avg,Batting_Position,Boundary%,wickets,Economy,balls_ Bowled,Bowling_Strike_Rate,Average_Balls_Faced
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,2,11,10,110.00000000000001,11,8,36.36,0,8.842105263157896,19,0,5
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,1,15,13,115.38461538461537,15,7,26.67,,,,,13
Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,1,2,4,50,0,10,0.00,1,12,24,24,4
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,1,0,2,0,0,11,0.00,3,6.521739130434782,69,23,2
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,2,51,37,137.83783783783784,25.5,5,47.06,0,10.75,24,0,18.5
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,1,7,17,41.17647058823529,7,1,57.14,,,,,17
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,3,80,83,96.3855421686747,26.666666666666668,3,45.00,,,,,27.666666666666668
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,3,17,15,113.33333333333333,5.666666666666667,6,23.53,1,7.666666666666667,36,36,5
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,2,1,3,33.33333333333333,0.5,9,0.00,4,7.333333333333333,72,18,1.5
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,3,31,29,106.89655172413792,10.333333333333334,5,32.26,,,,,9.666666666666666
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,1,0,0,0,0,9,0.00,3,5.25,24,8,0
Rahmanullah Gurbaz,Afghanistan,Right hand Bat,"",3,68,50,136,22.666666666666668,2,67.65,,,,,16.666666666666668
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,3,57,32,178.125,28.5,8,70.18,4,6.416666666666667,72,18,10.666666666666666
Usman Ghani,Afghanistan,Right hand Bat,"",3,59,64,92.1875,19.666666666666668,3,44.07,,,,,21.333333333333332
Aaron Finch,Australia,Right hand Bat,Slow Left arm Orthodox,3,107,97,110.30927835051547,53.5,2,50.47,,,,,32.333333333333336
Adam Zampa,Australia,Right hand Bat,Legbreak Googly,2,1,3,33.33333333333333,1,10,0.00,5,6.666666666666667,72,14.4,1.5
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,,,,,,,,1,6.25,24,24,
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,1,3,2,150,3,2,0.00,0,6.5,12,0,2
David Warner,Australia,Left hand Bat,Legbreak,4,44,41,107.31707317073172,11,1,54.55,,,,,10.25
Glenn Maxwell,Australia,Right hand Bat,Right arm Offbreak,4,118,73,161.64383561643837,39.333333333333336,5,67.80,3,6,19,6.333333333333333,18.25
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,1,1,1,100,0,11,0.00,5,8.266666666666667,90,18,1
